,Times on the monthly bottom 5 list
Sullivan County,34
Garrett County,11
Venango County,9
Scioto County,9
Cattaraugus County,9
Jackson County,8
Schuylkill County,7
Salem County,7
Putnam County,6
Henry County,6
Jefferson County,5
Watauga County,5
Carroll County,4
Otsego County,4
Saint Lawrence County,4
Boyd County,4
Livingston County,4
Vermilion County,4
Rutland County,3
Lawrence County,3
