,Times on the monthly bottom 14 list
Hutchinson County,60
Montgomery County,46
Randolph County,46
Mitchell County,43
Labette County,43
Cass County,42
Wyoming County,40
Morris County,37
Nolan County,35
Cherokee County,33
Dunklin County,24
Eastland County,24
McCulloch County,23
Neosho County,23
Monroe County,20
Telfair County,19
Brown County,16
Falls County,15
Haskell County,15
Jackson County,15
