,Times on the monthly top 14 list
San Francisco County,60
Teton County,60
Marin County,60
New York County,60
Dukes County,60
San Mateo County,60
Nantucket County,60
Maui County,60
Pitkin County,60
Santa Clara County,59
Kings County,56
San Miguel County,41
Honolulu County,36
Summit County,33
Suffolk County,27
Kauai County,19
District of Columbia,17
Eagle County,8
Santa Barbara County,3
Santa Cruz County,1
