RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02
3017,Sacramento County,California,20,249200,234800,221400,21e4,201400,196100,188100,183800,177100,172800,167900,162900,160600,156800,158100,159200,162500,166300,168e3,171700,171900,174800,173700,171900,171600,171600,173400,171900,169200,167600,166200,166800,166700,166500,166300,160600,157700,153700,153200,149400,147900,149300,150200,150700,152100,153400,155e3,153700,155700,154400,154500,153200,155800,160700,166e3,173100,179600,183800,189600,192600,201e3,204800,212700,217400,223700,227400,230600,231400,233600,237200,241900,244700,244600,245600,246500,248600,247200,247900,250300,252700,253400,253600,254600,258e3,260600,264e3,264e3,264600,265200,266e3,267900,269900,270800,274700,278600,283700,288300,289500,290700,289800,292100,295100,295900,300100,304600,304800,306200,303800,306900,307600,310400,312800,316600,319500,322200,324600,327600,330500,339600,343e3,349700,346400,346600,345800,345300,350100,354700,357500,359200,355600,,
1252,Nassau County,New York,21,457500,461900,475100,475400,469100,464800,454100,444600,429700,423e3,419600,412100,415100,414700,417900,413600,414300,406800,405200,405200,412600,415500,415200,417500,423e3,429800,427e3,426200,416700,420800,418300,421100,422e3,414800,418e3,417200,422300,429700,420500,418400,408e3,409300,414800,409600,407500,397900,401400,4e5,397400,394900,402700,407700,410300,410800,417200,412100,413600,408800,418600,420200,422300,420300,417600,422200,424e3,424700,425100,424400,427900,425300,428500,427100,430100,429200,431600,429200,432700,438100,442500,440200,433200,427700,428400,430800,431400,436100,436400,446100,439700,439400,432200,437e3,437400,443200,446700,444900,448e3,449500,459200,457800,460800,463600,465700,469200,472200,475300,470300,471600,474900,479700,486200,486800,488400,486800,488900,490200,493800,499900,501e3,498600,498800,505900,511200,509800,509900,507600,514600,516800,523100,520800,521e3,
2993,Palm Beach County,Florida,22,243300,233500,221200,219200,217300,220800,216500,207400,195300,185100,177900,170400,162800,154300,146600,145400,147900,153800,159400,160800,159100,157900,157900,158600,154300,151100,148600,148300,145500,142500,137700,137100,136600,135200,134e3,128700,124300,119900,120200,119900,118300,116e3,114300,116600,115400,118700,117400,119900,119e3,123e3,125600,130100,132200,135200,138300,140800,145800,148700,156500,156300,155900,152600,155900,159300,161700,164e3,166200,168700,171700,175200,178300,177800,180100,178800,179900,181e3,185500,186400,187e3,187500,192300,194e3,195300,194700,197100,199100,205400,208400,208900,208200,206900,21e4,209400,212600,210300,215e3,216100,221900,221600,222900,225200,227500,23e4,23e4,228600,227100,226800,232600,235300,238300,236300,237200,236e3,238500,243500,247e3,250600,252100,259200,262800,267600,262900,257e3,249500,246900,246900,249400,254400,26e4,258400,256400,
2241,Cuyahoga County,Ohio,23,,,,,,,,,,,,,,,,,,,89500,94200,98500,98800,97300,99700,99800,101800,100900,99400,92e3,86700,82200,87e3,94200,99100,96200,85e3,80700,77900,76500,78900,80500,85600,81700,80100,77300,78600,79600,78300,75800,78e3,81700,82900,83400,82900,85100,82900,80700,83e3,84900,90500,88500,86800,81300,83900,88100,93e3,92600,90400,89700,88e3,87700,85900,88600,91600,95900,96100,96500,98e3,97400,98600,95100,96700,97200,97500,98e3,92400,94e3,93200,98200,96800,96700,92600,90600,91e3,94e3,101600,100300,102500,99100,101800,100200,102e3,102500,104200,107600,109400,112400,111200,110900,111600,111900,108200,105600,103e3,107400,112300,118100,119400,119500,120300,122300,121600,118100,113300,109300,109e3,113800,117900,122600,123100,122700,
3165,Hillsborough County,Florida,24,195100,185800,179600,175800,174e3,169300,165600,158400,155e3,146600,140600,133300,128400,126400,123600,125e3,124800,125100,124800,124500,127e3,126500,125800,123800,120700,118900,118300,119700,115600,111300,106500,106900,104800,105500,101100,94100,88500,85500,89200,91700,98400,101600,105600,104600,104600,103700,104400,104700,104800,106600,108e3,111e3,112400,115400,114900,117700,122600,128200,128600,124600,125700,128500,134400,133800,136600,141100,143200,143300,14e4,140900,139500,138e3,134600,133400,133700,136600,14e4,142900,144400,145200,145900,147700,149200,150400,151300,155300,158e3,159900,158800,159300,161200,163500,165200,166500,168900,172900,175200,180100,181400,185200,181900,182600,181200,182200,182300,182500,185800,188800,191800,191800,190700,192400,193600,195500,195500,196800,199700,201800,211e3,217900,221100,217e3,211700,210600,207900,206400,206300,206600,211300,215e3,219800,
2614,Allegheny County,Pennsylvania,25,88900,91800,91300,91700,95100,93900,92600,89100,89200,85e3,81100,83e3,85800,88600,90800,96500,102500,105e3,107e3,107200,108900,107600,105200,106100,107400,110300,109300,109800,108e3,108e3,108400,111400,109600,109e3,106200,107300,106800,105200,105700,106600,112500,113400,112300,109200,107700,105200,106600,109700,113500,116700,116e3,118700,119400,119500,119700,119e3,117600,115100,115600,119100,121300,121500,120800,120500,121700,122100,123400,121800,121e3,120400,116800,117900,119400,124900,123600,123600,122600,126600,127400,128200,124700,126600,126800,135300,135900,135900,129600,129300,131500,132200,132300,131200,132400,132400,135100,141100,139800,137700,131500,132600,133200,133e3,132400,132900,133600,134900,135600,138200,138800,139500,139900,141300,141900,140400,139300,141300,144600,143700,142600,150300,158500,157900,148900,145500,147200,149300,148800,150700,150300,150800,,
1950,Oakland County,Michigan,26,157700,150300,145800,137e3,133700,131900,133500,130500,121300,117e3,109e3,100600,89900,80900,80700,77600,80400,81100,9e4,94600,103400,108e3,111e3,105600,99600,98e3,103800,107600,107900,101500,97800,94400,97800,99300,106500,101600,96600,88900,89800,94500,97300,104200,106700,113e3,111700,112900,109400,106600,103700,103e3,108700,111100,116500,122e3,122600,129200,124e3,132400,130800,138700,139600,141500,142400,143900,148500,155900,158100,162600,160300,161700,159e3,160600,157600,159100,162400,168e3,169200,172e3,178e3,177100,172100,169700,173200,176200,176100,176400,177300,179900,179900,180200,178400,180600,182200,183800,185300,186100,187400,187100,188900,191e3,188300,189900,191400,198300,198900,198400,198100,198900,201700,209600,216500,217600,206100,198300,199900,207600,213100,216200,217200,218800,219100,223700,227700,226400,219200,217500,218600,224800,225e3,229900,227500,
2288,Franklin County,Ohio,27,131400,129600,130400,129e3,126900,123900,122300,120300,116300,114300,115500,114300,111600,110400,113600,117700,122100,126400,129300,131600,131700,129600,121800,123100,122400,125900,121800,123100,116600,113400,107700,108800,109300,118300,119e3,112800,103100,103700,106600,109500,112e3,116900,115200,111200,111400,115900,117100,110500,104100,109400,119e3,129300,133700,132900,129800,125e3,124300,126900,129400,129400,125600,122900,124300,129500,135500,138100,136300,132e3,133e3,133900,134600,135300,136700,140100,138300,139700,139200,140900,140700,142600,142600,141800,140400,156700,157600,158200,144300,143700,143100,142800,143e3,142500,140800,140200,140100,144100,149500,153200,152800,150600,152100,152900,157500,160300,163300,164100,166300,165e3,163200,161600,164e3,165e3,165300,164200,163800,165600,167500,172600,174100,177800,175400,173500,168100,168900,169e3,172e3,171900,175e3,177200,182600,180900,185700
2339,Hennepin County,Minnesota,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231700,233200,238100,236900,238200,235700,237500,235800,234200,233400,236e3,236900,239400,241100,242300,241700,244100,244200,247500,247800,249800,249900,248500,249e3,250900,255300,262600,266100,271200,271e3,270600,267300,261200,262500,265200,272100,273400,274300,279900
1287,Orange County,Florida,29,222200,218400,208200,208100,206400,208e3,203100,194200,182100,171300,165400,160200,148100,136200,122800,119500,113900,117600,116200,119e3,112900,113900,105600,103400,98700,99600,101800,103800,106200,103500,98800,96e3,94300,91100,88300,82800,87500,90700,99e3,101200,103700,106700,107800,107700,111100,111900,114300,110600,111300,109900,113800,117900,121900,124400,125400,127e3,125500,125e3,127300,133600,137900,142e3,141900,143500,144600,153800,158200,159400,157300,154500,155400,154700,159900,163700,168200,168800,169100,168600,167700,166700,161800,159700,161700,171200,183500,188100,193300,193800,198900,199800,205700,212100,216900,217700,218600,219e3,219600,219100,22e4,224200,227400,232100,231800,232400,230600,232500,236300,239200,237700,235800,234900,238100,238800,239800,240200,243800,242900,248100,253e3,261300,255800,249200,243100,244700,244500,246900,245500,245500,239200,241200,241500,
1694,Fairfax County,Virginia,30,416500,400100,383e3,377300,374900,370700,358500,353800,345100,334600,325700,322300,327300,328200,333600,342400,357600,371200,380800,376200,370800,366300,371800,374700,375700,375600,375400,381800,395300,407700,409900,405200,395200,395700,388500,389600,387300,391e3,390400,393100,399800,408900,416600,411700,411900,403700,398200,392100,395e3,401800,411200,413500,418600,418700,425e3,429100,432100,425800,424100,425900,433300,434800,434700,442600,446200,452600,448900,451100,447300,442500,441200,437e3,439900,44e4,444700,445900,446300,449700,452e3,459400,458900,459100,454200,458300,459500,460200,459600,458900,459500,458200,459100,459200,460500,455700,456100,455400,46e4,458200,459e3,461400,462600,462900,460700,460800,460200,462e3,463700,464100,473900,475700,481900,475600,475300,472500,471e3,473e3,478e3,483e3,486400,495300,502300,503600,495800,497800,500200,501e3,495200,493300,495e3,493500,501100,
3159,Contra Costa County,California,31,454900,408900,374700,352600,340400,325300,310300,293500,277600,260800,25e4,239e3,229500,219400,214600,221200,235e3,248900,258500,267200,277700,288400,287100,283300,275700,270600,268800,270100,280400,282600,286700,275800,271300,264900,266700,264800,257100,248500,240700,244600,243600,249200,248800,253100,256600,256800,260200,258900,260200,265500,280700,296700,303800,300700,307200,311900,321800,337700,344700,349700,340800,362500,385e3,405600,415400,420200,424600,420500,423e3,429800,439700,451200,447500,439400,428400,424100,429e3,428100,436100,437900,434400,431e3,428500,443900,449200,452900,447200,454400,456300,469100,468100,471600,467900,475200,481200,481300,482100,482100,490900,491500,496400,491200,490800,492300,502400,508200,518600,519300,524800,527300,531100,533e3,531300,536800,542300,556200,566900,567600,565700,569200,579200,587100,587e3,589200,585200,580300,579e3,589100,604400,600300,598200,607800
2840,Salt Lake County,Utah,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239400,238100,239400,239e3,240900,240400,240200,238800,237600,243200,243900,245400,244e3,246500,248100,247300,242800,244e3,247300,252700,254200,254e3,256e3,257600,256800,257600,258800,260500,260700,261600,264300,268700,270500,271500,269500,271200,272e3,274400,274900,278800,28e4,282900,288500,293200,296500,295600,292200,290800,295500,304400,311200,313800,315900,317e3,314800,314e3,315500,318900,320300,324e3,327300,332300,33e4,332900,
3130,Saint Louis County,Missouri,33,148e3,147900,139500,135900,137200,139e3,139900,135700,132e3,13e4,128900,141500,143200,146300,134800,136400,132100,130800,130800,135200,137200,133800,135500,137500,139500,135400,134100,136900,136600,135800,129700,124500,121900,122800,123400,129e3,124700,127700,120200,122500,123200,125300,124800,122900,121200,115200,108100,112100,114600,119800,116300,122e3,126200,128400,127700,126500,123200,123100,117400,123300,119600,130100,135800,148600,151800,148400,147700,145e3,144300,141300,141300,145300,146e3,148e3,145200,151300,152e3,153400,151500,150400,151100,154400,163800,180800,182e3,178600,165600,164100,163700,164500,162800,163400,162900,165200,164800,165300,159300,157400,156200,161400,160800,160500,161500,161700,160700,158200,16e4,168e3,168900,167200,157200,156400,156400,158700,159200,162700,165400,166600,162500,170400,172600,180700,170100,166600,162e3,163600,149700,145600,146700,160600,,
281,Pima County,Arizona,34,204200,201800,200100,192e3,189900,184200,183900,178900,176500,175100,171400,172100,166900,165200,162800,160100,160400,158e3,163100,160900,161100,155700,161100,160300,161600,157200,154200,150100,146300,146400,149200,145400,142100,136600,136500,136300,133700,133e3,129100,126400,121900,121100,121900,121800,122400,123600,128300,129400,131100,132200,135e3,136100,134900,138600,143700,146400,146e3,150300,154500,156200,152500,153700,155600,158800,157800,158300,158100,158400,159500,159500,160800,160500,162500,161800,160500,157800,159200,159300,162700,163e3,158800,152700,149900,152900,156700,156800,157800,157400,157900,158e3,158800,161100,161200,164e3,164700,168600,168700,171100,171800,173600,173600,175400,175100,174500,173700,172700,175500,177800,180600,180800,182300,180900,179500,174800,181200,181700,191500,194600,203700,206400,206100,208400,207300,204700,199800,197200,200400,202700,204800,202500,205300,
2975,Montgomery County,Maryland,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384500,386800,389900,393300,394e3,396100,396800,400200,402400,403100,403600,402300,400600,405500,405700,407600,407100,404700,403200,403e3,411700,421e3,430600,429800,426600,430400,434300,435200,423800,422900,422700,427100,420600,
2347,Honolulu County,Hawaii,36,370900,360900,360800,361100,389200,406e3,394400,393300,393900,418300,395300,386100,389800,400500,411200,400100,424e3,405800,408e3,387600,397800,406300,405400,411400,408400,415e3,415400,408800,418400,413100,422200,413600,417500,421e3,409300,412e3,414300,427800,431700,407700,399200,382200,392400,403800,431100,441200,425800,426e3,425300,442e3,436600,434800,431100,419500,424700,425e3,438100,440300,439e3,435800,442800,469700,461300,467600,446300,465200,461600,459500,448200,457e3,473100,485300,480600,472700,474200,478800,478100,465800,467600,474300,488300,481200,481200,47e4,472300,472700,481e3,473800,468400,480700,488400,495600,49e4,499100,498700,542800,551500,566400,531e3,526600,538400,534300,536200,532800,540900,539600,542100,542e3,542600,536200,539200,551500,564300,565100,570300,564700,565900,565600,561700,567700,560300,562900,568200,571200,584900,578900,576800,569e3,574700,575500,594800,
3148,Westchester County,New York,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568e3,559300,561400,554700,563100,556800,567900,562900,566200,557600,563700,576200,570500,573800,563200,568100,550500,555100,575e3,592400,590300,575100,567700,573200,569900,580100,585600,592900,578800,582e3,596e3,636400,646400,642800,610100,598100,592100,605300,624500,638200,
2804,Milwaukee County,Wisconsin,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148300,147500,152600,153700,158300,154e3,153300,153800,153e3,152700,151700,153400,161700,161700,161300,159800,159700,160700,153600,154700,154900,156600,156600,160600,164400,165300,165300,
