"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,268.361581920904,262.949676750839,268.904386351315,269.078947368421,268.665087533012,266.418372819915,264.423076923077,264.048070129367,260,256.873473873713,254.563399817131,248.075219702705,245.254832454166,245.822637549804,246.17067833698,244.567690557452,245.569254314478,246.390845070423,245.714285714286,243.983010854176,240.429072113853,237.153115488365,233.604399093687,230.120481927711,229.0625,229.302325581395,231.379731379731,232.945013979497,236.062480412708,242.328777388125,245.076819012013,246.189917936694,247.614732113169,248.325892857143,250.472140268994,251.456310679612,257.439198855508,262.37979953171,274.725274725275,288.654372567202,296.780243023519,304.428044280443,309.661380467295,310.63575586568,311.621655166967,310.312497812498,310.069514386407,308.25,308.31493745401,311.303960836671,313.796366289981,320.930936062515,326.771653543307,330.297219558965,332.925066861755,332.258064516129,332.845588676046,332.393234672304,333.207302147724,327.624461042812,324.331656528981,332.224685883222,337.224383916991,345.058336725003,353.53974564857,354.511659344373,356.327307326356,358.547327394209,358.877783115291,361.407919547454,359.503424657534,359.685021006158,361.875637104995,369.00307503075,374.000934580309,378.059440559441,380.652680652681,385.428467538577,387.411828540423,386.843397152675,387.323943661972,387.618643630011,386.98328935796,384.469696969697,387.222161242522,389.63702417353,397.959183673469,404.210213289306,407.857868020305,407.585298627987,407.058823529412,407.014681892333,407.083130095464,409.136847673852,410.898937071894,409.407665505226,410.224438902743,417.273646939808,420.309347679892,424.501424501424,426.717557251908,429.553264604811,429.411703013665,428.794178794179,429.323839662447,431.875174143215,431.916426512968,427.728474479962,427.519639298862,429.914004914005
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,188.363375270238,190.122511485452,190.318302387268,189.844407703218,188.57994041708,187.4375,182.279337166047,180.076138478094,173.359803494243,174.60612937158,171.723751519695,164.142857142857,159.963436928702,158.027284373956,158.065873367155,157.684630738523,158.179380940775,157.709251101322,154.91452991453,151.892497404419,150.425894378194,146.9723183391,142.218610321008,138.297149222814,137.265917602996,137.5,137.870927795771,139.212706359139,138.868479059515,138.798779062975,134.059233449477,132.173913043478,130.020080321285,127.866303925379,127.726331870213,125.040430531874,124.201561391057,127.647058823529,132.237339380197,136.90780032936,140.932317713603,143.573381950775,142.345872518286,141.071157709434,142.488917036099,140.420336165017,138.012539808917,133.791308249437,131.932222222222,138.680472598144,146.321070234114,151.926176448102,156.928327645051,158.980355472404,159.039420027186,157.853701552889,156.138392857143,154.083333333333,150.998305374318,147.383630952381,143.266666666667,147.172462240955,155.481481481481,158.157894736842,162.886762360447,164.726180102081,164.027820121951,162.503183902191,161.922746316833,161.378555798687,158.808435115782,154.955916030534,154.192423427194,160.25561984255,168.234244708568,173.151942926533,176.26310772164,176.988636363636,174.291557734205,171.153846153846,170.655631719716,169.839699334232,167.338709677419,163.210099188458,163.147792706334,170.159574468085,176.418439716312,180.589680589681,183.333333333333,184.610123119015,183.333333333333,181.009879253568,180.511662904439,179.987980769231,177.857142857143,174.310487932793,174.550128534704,181.858047836902,190.625,195.89852096785,197.038724373576,197.527360550519,197.001217507405,195.975232198142,195.756504167719,194.983753415844,193.530310748854,191.382061043505,193.00025733402,198.055601930286
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,75.4341460703044,76.259157626483,76.4872521246459,76.7315527387958,76.6283524904215,76.1929785051172,75.0110375275938,74.8428143712575,75.5447036764531,74.9817117776152,75.3542649018292,74.5033112582781,73.9583333333333,73.9357729648992,74.1472172351885,73.842532458361,74.2481203007519,74.3418555169036,73.8447319778189,73.5863671572424,72.6400807672892,73.1257539417223,72.6879327398615,72.9400136332652,72.9695431472081,72.9854339705112,73.8909426987061,74.7403787416005,75.2737226277372,75.6761268781302,75.4297693920335,75.4185536913994,75.4933774834437,75,75.5578093306288,76.2262799856785,76.5785181733458,78.8288288288288,79.9462098036624,80.9183141957307,81.66520219418,82.4384227856754,82.6425355321102,83.1686456692914,83.7811636126767,85.5151293301893,85.1415508079613,85.5880728879072,86.6237494600832,89.2040598290598,90.5443064987886,92.3289345557924,93.2176149148184,93.2835820895522,93.8609842719432,95.0926389584377,96.3228819918417,97.0246775098149,98.8125733491941,100.87997345101,103.735731580768,105.017639077341,105.811708000233,108.00821704704,105.748757984386,103.821656050955,106.339907012062,106.85836409559,107.817582605718,109.263996306426,109.02560130132,110.780755433636,111.853642579992,109.55116136846,110.780755433636,110.918480265585,110.957700393946,111.177919708029,110.500782963014,110.909090909091,110.643119862663,110.673880964092,110.769786772678,111.27698388568,111.981064968498,112.796510039218,112.987012987013,113.653136531365,113.592233009709,113.223393403604,112.479663394109,112.786596119929,113.793103448276,114.239767784506,114.748565642929,115.666852223181,116.316273839962,116.992399565689,118.289194915254,118.60401459854,118.701550387597,118.367701247166,117.684040468504,117.481203007519,118.227424749164,118.443247817892,118.761169550956,119.016133298069,119.831936405524,120.262390670554
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,99.2533019656918,97.6499690785405,96.6370313103981,95.254110612855,93.0617827727192,91.7928086167622,89.4887594177408,87.7483443708609,86.5737378732782,85,83.4985265225933,81.7125645438898,80.3937581293676,80.0870743400731,79.6370075254537,78.3003300330033,78.5751702462022,78.4779858700894,78.4207945071113,79.5776583351627,80.0334402793177,81.5018315018315,82.5242718446602,82.7141088634359,85.1079360149091,86.9565217391304,90.1178572330379,93.9528086780547,95.877721167207,97.442143727162,98.4354628422425,99.9252331328743,101.289134438306,103.358311800172,105.689494635146,107.075767063244,109.362564293635,111.885546588408,114.360373267598,117.03019336002,119.43631585141,120.499569336779,121.039354187689,120.449911485067,121.138211382114,122.564935064935,122.809038725847,122.950819672131,124.621932060221,125.54433713784,126.245828698554,127.090909090909,126.733620277379,126.719768283852,126.013904982619,125.9765625,126.26582278481,127.622149837134,128.331057878506,129.004051425521,130.648535564854,131.461974689398,132.995373939861,134.838024429102,135.329003134088,135.025058012407,133.109489051095,134.702690130227,135.761589403974,137.486566924415,138.888888888889,139.736768412209,140.874844712803,143.480176211454,143.918762886598,144.594594594595,145.598610191926,145.052692188251,144.323284156511,144.191576086957,144.98933901919,145.979142526072,146.810463515374,147.105346409364,148.631444939529,150.066711140761,150.588235294118,151.75625191251,151.734467724355,151.240852188852,150.401136564775,150.944597734916,152.496626180837,154.477144646212,155.196205260888,156.327272727273,157.740585774059,159.139590408218,160.093531871591,161.6978976234,161.947415316174,161.460483803775,161.122661122661,161.267098632109,161.809986130374,162.835249042146,163.304514889529,163.73393757944,165.299684542587,166.147119341564
"San Diego County","CA","San Diego-Carlsbad","06","073",5,246.785592527036,249.685270667226,251.0894538964,251.377777777778,250.885478158205,247.777761975196,246.596066565809,246.117424242424,240.892531876138,236.505879387487,234.592445328032,230.515916575192,227.844801414976,226.211223422795,224.091194654799,225,226.388118038209,225.306649451259,223.863636363636,217.851268796992,213.643851323889,211.409495682791,210.282574568289,209.186046511628,208.137468922443,207.57071547421,208.823529411765,209.963099630996,214.285714285714,216.686871759705,219.512195121951,220.866638620109,218.778855586316,221.224543847629,221.740499084249,224.358974358974,228.821909985238,237.26977248104,245.579705350448,253.931151721207,262.410071942446,272.727272727273,277.218909577781,278.314147790568,280.104712041885,277.491067884081,274.158926921829,274.621355957948,278.093076049943,282.608695652174,287.163375224417,290.734570476252,295.074946466809,296.680497925311,296.414577497936,296.737891091899,295.363636363636,293.059754353608,293.010337910816,290.453074433657,290.955943561915,294.850770744506,300.033523298693,303.06025204702,308.894706224549,303.544924720738,315.551730732454,316.480891719745,317.852077058136,316.211598875661,316.358024691358,318.194444444444,319.53195319532,322.278911564626,325.42113323124,326.71678592763,328.444102958125,329.736211031175,332.105082200085,331.241283124128,331.632653061225,332.118266504658,330.110062893082,331.136848132488,334.147386461011,335.120643431635,339.185852173613,342.557805180662,346.260387811634,346.514623285091,347.535949898155,347.836202885063,348.218325348391,348.70637067061,348.755756801734,349.533072597169,353.251297823565,356.95399259651,360.288519624364,362.426035502959,375,377.044500412647,375.922229288085,377.490039840637,377.018874030653,372.381691233514,371.822272018432,372.164329464861,373.405810354939,375.425766089324
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,299.895474372955,296.440173390057,296.666666666667,298.159749587435,297.527472527473,295.885384683016,293.378873631471,294.117647058824,287.78819970863,284.457478005865,283.848841301264,278.614457831325,276.076394205562,273.970031031941,273.490144607166,273.302873651254,272.5058730787,272.077922077922,270.478223685948,268.918111177525,266.15020527171,263.194871794872,259.937696625748,257.06940874036,256.651053093204,257.580648316607,259.972570678259,261.922758310553,266.275346851654,269.23289031189,273.069679849341,275.183919593462,276.227807240028,277.777777777778,280.816761833094,283.196979232222,290.306921390542,298.652694610778,309.646017699115,318.269542264956,327.557058326289,335.012594458438,339.049103663289,341.819854550123,343.938663550441,343.263025639885,343.811394891945,343.651376615938,345.581802274716,348.393341076268,349.576624184022,352.800023028,354.616240266963,356.59509202454,356.356631810677,355.847256583584,358.173562058527,357.313127389888,357.808535308431,357.289811637638,357.251952956144,360.843373493976,361.921397379913,364.889705882353,367.669172932331,370.179063360882,372.12449255751,374.265240641711,374.999791666667,375.293565054016,374.172774154167,377.256313276576,379.382433816039,382.424414705968,384.615384615385,386.930388716648,389.252336448598,391.96509578975,391.807512829879,391.599015585346,392.137096774194,392.80316856564,394.600446276321,395.758814512008,398.843930635838,400.992926814104,404.407385348422,406.639004407318,409.226267506399,409.353652128219,411.327231121281,412.453361581781,413.913973814964,414.154685435902,415.748109224554,417.380136986301,422.180481212113,425.901328273245,426.256077795786,429.447852760736,432.904765327193,435.743385183296,434.530706836616,433.244544287548,433.760793541515,433.383383383383,431.760743341514,431.292943143813,430.948275862069,430.911330049261
"Kings County","NY","New York-Newark-Jersey City","36","047",7,415.509259259259,414.625873337841,400.629154795821,398.072646404744,402.462121212121,402.073732718894,398.989898989899,392.685851318945,409.027777777778,412.037037037037,409.43260930103,411.509229098806,409.153005464481,392.857142857143,403.508771929825,401.030927835052,403.803607896528,398.526959421901,392.857142857143,389.473684210526,397.92663476874,400.106837606838,400.282244356841,400.256163944925,398.472014366956,402.597402597403,405.081644144144,427.142857142857,436.598329536826,426.405757984705,422.839506172839,415.607022009465,410.635964912281,404.461272524239,399.333333333333,387.202842377261,383.242239022629,379.605874726323,388.944444444444,393.518518518519,396.033994334278,399.428571428571,390.624131944444,389.756944444444,403.886264770809,402.217741935484,420.043196544276,403.535353535354,402.895054282268,392.156862745098,398.888888888889,407.608695652174,434.981684981685,453.030303030303,453.858084696408,453.858084696408,453.636363636364,472.883244206774,468.125,471.681996855346,520.392749244713,516.8132436627,531.288643858203,549,575.982811918365,573.839662447257,575.519371139809,570.952380952381,596.491228070175,606.948968512486,604.635441969879,608.536585365854,656.25,671.618451915559,650.210084033613,700.444868888151,666.666666666667,675,665.248226950355,677.501711557659,698.717948717949,705.522698209719,705.577711310513,713.53426210306,708.481087470449,717.320261437908,729.022681128496,735.894736842105,759.256912810306,769.169230769231,761.95693597561,745.522388059701,737.684729064039,741.185296324081,750.517598343685,741.180883456158,744.783169311669,690,633.928571428571,672.727272727273,708.787983886398,705.357142857143,706.20239390642,701.298701298701,712.714815077137,719.240384615385,718.7484375,717.450258443673,723.56371698477,732.971973008205
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.191152375751,158.161566041904,164.416530113525,169.049167131092,172.413793103448,171.739754763629,171.13783533765,175.507020280811,182.074439342246,165.342522011924,164.102564102564,169.107272918769,182.493963054446,183.279231136423,189.966178128523,192.982456140351,191.056910569106,193.952104409648,191.792050303166,194.426441996111,191.715976331361,191.695851268762,195.516162669447,198.23275862069,220.148179508891,223.168654173765,223.511067628715,223.859216626071,224.413145539906,228.43829473966,209.090909090909,210.300256570279,229.6875,231.221719457014,235.232618923157,234.722222222222,251.583022071307,255.931544146247,272.146118721461,276.561564064233,269.350280787407,275.578496656075,279.599780701754,278.664543524416,278.392783927839,272.552705292643,276.911214953271,280.667372881356,283.432835820896,286.859563407172,287.769784172662,289.751682717551,288.993520929937,288.867091711623,291.666666666667,293.478260869565,291.956204379562,286.225402504472,289.340101522843,285.858585858586,292.397660818713,296.921403541779,296.849087893864,296.274343776461,297.425432020832,298.11320754717,298.188866095323,295.294816735543,294.91833030853,293.311758360302,295.241244338591,295.266272189349,299.544360028231,302.443133951137,301.508722636175,300
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,84.6536347325323,85.0474683544304,87.5963559915908,88.8463641334062,88.3977900552486,87.7654741807029,87.4635568513119,85.6803703362208,84.5186619160646,84.3993787743788,83.6361168277138,81.0708491076257,78.9099526066351,79.2972459639126,79.8440671545785,80.4195804195804,81.7612243651811,81.2529890004782,80.4828973843058,79.2268409612006,78.2164655360941,78.8473839593242,77.7673251803073,77.0068376068376,76.3567522086664,78.4095719262548,79.4154014693258,80.322368662355,83.1715210355987,83.1800262812089,81.7355747387551,80.4703341270258,80.3090859826972,81.2232677502139,82.080998573228,82.0493939917179,81.33,82.666804972297,87.6073270704264,90.2306648575305,91.7920663728286,91.6069518716578,91.4987525034475,91.304347826087,91.9155096821337,91.7004159385912,91.5848740069721,90.8368042408179,90.4088050314465,91.5083177669614,95.873320537428,98.3050847457627,101.604532163743,97.3226703755216,98.1805641951183,102.315297384845,99.6796556463655,100.319956616052,100.694444444444,102.311756935271,103.755058654782,105.933774834437,111.050724637681,113.48897535668,112.847222222222,112.599859258405,110.546875,110.632235652494,112.123974475843,113.818765931156,114.261904761905,114.520408982015,114.971804511278,117.269828510182,123.524549819371,127.631578947368,129.722502099076,130.119513558848,129.753463983986,128.510564793556,130.70581138146,132.258672699849,132.909377065519,133.416495269436,134.652388356811,136.494252873563,139.252553389044,145.294628369551,148.282308950689,147.21163837894,145.278450363196,144.015659955257,144.473299195318,145.423438836612,145.844385499558,145.166220863584,145.73149223439,149.811268055752,152.808559419182,155.497744042244,157.739524780067,156.774916013438,155.346767157363,152.171666242525,154.727059536881,154.729148753224,156.599552572707,154.880556335066,153.074951953876,155.731157620906
"Queens County","NY","New York-Newark-Jersey City","36","081",10,,,,,,,333.197575757576,327.004219409283,323.75,328.628343767786,326.530366854233,320.967741935484,321.111111111111,307.974214058637,312.411879415228,308.989090909091,308.388157894737,307.996245545562,305.733781593873,304.507364144236,301.7478892016,298.051948051948,288.306160956581,285.855773492908,284.285714285714,283.898305084746,290.833333333333,300,305.970149253731,300.952380952381,299.836155106499,296.957671957672,293.907216494845,293.276283618582,291.666666666667,292.618162506638,292.647058823529,294.414251207729,300.925925925926,303.325688073394,307.504940711462,312.293762575453,315.924657534247,318.854800936768,324.285021812894,318.688725490196,318.914587664588,315.384615384615,314.724919093851,312.5,322.729725490196,329.140937608062,338.067796610169,347.88961038961,346.795187951027,347.711267605634,347.719270166453,349.933862433862,347.018162513056,345.206447963801,350,350.235753984968,353.846153846154,348.979166666667,360.696517412935,375.295198656222,379.148550724638,390.151515151515,396.60767184953,396.395495495495,398.378691372322,400,412.03434121233,417.430951582243,423.376623376623,431.482991964232,438.414634146341,443.037974683544,447.381861190259,453.716856060606,455.552226027397,460.30303030303,455.685427433247,453.670033670034,441.597819850832,447.892271662763,460.565100882724,476.145038167939,491.225369458128,498.611111111111,495.791245791246,494.519297297297,493.377192982456,494.444,495.314591700134,491.988130563798,495.614035087719,466.130179415409,430.726549240263,448.141969627243,490.870786516854,500.668449197861,502.936602602146,502.777777777778,505.451713395639,506.430641821946,501.123595505618,503.738317757009,500,502.55033557047
